_id,followers,created_at,friends_count,location,name,screen_name,ntweets,verified,geo_enabled,nOriginal,nRT,nTotal,nRTin,nquotein,nreplyin
826226272418283520,26699,2017-01-31 00:31:08,15563,,Adam Cohen Lawyers for Good Government #DemCast,axidentaliberal,73868,False,True,98,89,187,2375,229,245
713839291210792960,385579,2016-03-26 21:25:24,27049,"Washington, DC",Democratic Coalition,TheDemCoalition,167262,True,False,559,261,820,42012,25328,3899
2334125258,2083,2014-02-08 21:52:07,2645,USA,Donna,angelnanadonna,81948,False,False,106,457,563,74,5,18
280082481,12676,2011-04-10 16:03:25,12799,"Newfoundland and Labrador, Can",Janis Sexton,Ez4u2say_Janis,1133575,False,True,27,204,231,28,2,3
205392468,496991,2010-10-20 19:37:47,1404,"Washington, DC",Face The Nation,FaceTheNation,34516,True,False,99,7,106,847,399,600
19455864,23967,2009-01-24 18:01:32,6694,"#Washington, #DC",Fin Gomez,finnygo,33004,True,True,66,9,75,485,592,243
1295747354725941248,64,2020-08-18 15:40:31,133,"Right here, right now.",Trimby28,trimby28,4095,False,False,121,244,365,7,0,7
18678924,291519,2009-01-06 15:20:59,8159,"The 703, 202, 504 or on the road",Jonathan Martin,jmartNYT,148102,True,True,73,13,86,2066,2757,681
2566363472,23147,2014-06-14 03:28:36,14271,"Boston, MA",Christopher C. Alberto,ChrisAlbertoLaw,22333,False,False,119,100,219,3531,1030,241
25926296,18470,2009-03-23 01:31:48,14870,Washington DC,MaeMae,maiamimi,31775,False,False,44,255,299,2087,221,138
3930472251,25720,2015-10-11 19:45:06,7223,,Outspoken,Out5p0ken,82132,False,False,532,113,645,4233,380,1578
16271173,24937,2008-09-13 12:59:42,16778,"Knoxville, TN",🎃🌻🍂 Lucia - Sanity in the South🍂 🌻🎃,ResistSister111,7468,False,False,72,7,79,845,85,110
1640929196,679011,2013-08-02 17:20:38,42063,"Brooklyn, NY",BrooklynDad_Defiant!,mmpadellan,97726,False,True,888,56,944,75889,5807,16865
793902637733146624,73714,2016-11-02 19:48:33,41103,"California, USA",Edan Clay 🇺🇸,EdanClay,54532,False,False,267,69,336,10744,1160,2091
160244947,167734,2010-06-27 16:32:37,1742,New York City,"Andrew C Laufer, Esq",lauferlaw,289219,False,True,171,254,425,8548,756,1070
3255678006,35248,2015-06-25 15:06:39,487,,Grandma Grit 🌎- former GOP,grandmagrit,1943,False,True,70,33,103,8314,489,1183
2839889895,114,2014-10-21 13:30:28,167,,T,LivefromloveT,22055,False,True,7,102,109,1,0,0
1243560408025198593,439109,2020-03-27 15:28:09,683,,MeidasTouch.com,MeidasTouch,18272,False,False,1202,154,1356,36592,21252,6395
49413044,2101,2009-06-21 20:10:10,4962,United States,Pam🌊🌊🌊,BlueGreen625,126068,False,True,27,122,149,10,2,0
471677441,1508726,2012-01-23 04:23:10,1300,,George Conway,gtconway3d,64518,False,True,474,77,551,142325,10994,17663
255812611,460682,2011-02-22 02:58:46,17036,Repped by The Story Factory,Don Winslow,donwinslow,50898,True,False,1016,90,1106,127318,40864,14857
827854565605191681,4568,2017-02-04 12:21:24,4303,,🤗 ❤😘👼💋🌊,TheresaBravo8,68745,False,False,14,174,188,3,4,0
407396556,176742,2011-11-08 01:14:06,2070,"Washington, DC",Jeremy Diamond,JDiamond1,16995,True,True,48,1,49,322,142,111
903487656633319426,2578,2017-09-01 05:20:18,4984,"California, USA",Rob from da block!,RubyzRobert333,14266,False,True,4,2,6,2,0,0
1922256140,8196,2013-10-01 04:34:49,8633,"Florida, USA",Audra Resists! #BidenHarris2020🌊😷💙☮️✊,appyoomkin,27364,False,False,144,115,259,536,15,28
1167505792959836161,17763,2019-08-30 18:34:23,17883,SoCal,"Sandy, the Beach is Back🌊❄️",BKiddo0725,15544,False,False,50,32,82,298,11,34
703959293616365568,1039,2016-02-28 15:05:49,566,"Natick, MA, USA",Ben Jackson,BJacksonWrites,1260,False,False,51,25,76,927,306,68
858798678710071297,14096,2017-04-30 21:42:15,15470,"Austin, NYC, Singapore",Mindful Primate,MichellesDude,139166,False,False,62,212,274,326,23,19
4361001253,26942,2015-11-25 23:53:30,183,,KT Counter Intelligence,KremlinTrolls,28054,False,False,219,64,283,1493,930,157
3331634031,45787,2015-06-17 19:44:23,18331,"North Carolina, USA","Private Joker, USMC",Infantry0300,90771,False,False,664,178,842,14359,2898,2339
366498596,70205,2011-09-02 08:44:21,38601,Los Angeles,Andy Behrman,electroboyusa,161033,False,True,132,733,865,16888,1283,1172
1073047860260814848,242793,2018-12-13 02:52:00,461,New York City,NoelCaslerComedy,CaslerNoel,8569,False,True,635,6,641,274499,23850,28457
19422491,111952,2009-01-23 23:40:20,11063,"Miami, FL",Grant Stern,grantstern,159992,True,True,237,144,381,8288,1318,530
859992452022882304,36823,2017-05-04 04:45:53,28628,United States,Dianna Nasty Woman✍️🏽,ArtistsPo,192762,False,False,2,179,181,7,0,0
